"Algorithm","Sample Size","Time"
"QuickSort","3000.0","1.396"
"QuickSortSeuil","3000.0","1.097"
"QuickSortRandomSeuil","3000.0","1.566"
"CountingSort","2000","0.998"
"QuickSort","18494.850021680093","8.777"
"QuickSortSeuil","18494.850021680093","8.378"
"QuickSortRandomSeuil","18494.850021680093","9.993"
"CountingSort","10000","1.795"
"QuickSort","40000.0","18.95"
"QuickSortSeuil","40000.0","18.949"
"QuickSortRandomSeuil","40000.0","21.064"
"CountingSort","19999","3.291"
"QuickSort","234948.50021680092","110.505"
"QuickSortSeuil","234948.50021680092","106.715"
"QuickSortRandomSeuil","234948.50021680092","127.38"
"CountingSort","100000","17.553"
"QuickSort","500000.0","256.02"
"QuickSortSeuil","500000.0","237.55"
"QuickSortRandomSeuil","500000.0","275.583"
"CountingSort","199999","34.308"
"QuickSort","2849485.0021680095","1617.616"
"QuickSortSeuil","2849485.0021680095","1595.327"
"QuickSortRandomSeuil","2849485.0021680095","1889.905"
"CountingSort","1000000","222.11"
