"Algorithm","Sample Size","Time"
"QuickSort","1000000.0","9.475"
"QuickSortSeuil","1000000.0","9.175"
"QuickSortRandomSeuil","1000000.0","2.503"
"CountingSort","4992","0.996"
"QuickSort","25000000.0","35.455"
"QuickSortSeuil","25000000.0","36.054"
"QuickSortRandomSeuil","25000000.0","13.938"
"CountingSort","24922","5.286"
"QuickSort","100000000.0","82.283"
"QuickSortSeuil","100000000.0","77.514"
"QuickSortRandomSeuil","100000000.0","32.299"
"CountingSort","49988","9.874"
"QuickSort","2500000000.0","444.36"
"QuickSortSeuil","2500000000.0","433.355"
"QuickSortRandomSeuil","2500000000.0","179.067"
"CountingSort","249957","50.035"
"QuickSort","10000000000.0","833.977"
"QuickSortSeuil","10000000000.0","827.454"
"QuickSortRandomSeuil","10000000000.0","375.57"
"CountingSort","499988","113.522"
"QuickSort","250000000000.0","6192.635"
"QuickSortSeuil","250000000000.0","6125.647"
"QuickSortRandomSeuil","250000000000.0","2100.617"
"CountingSort","2499865","535.779"
