"Sample Size","Algorithm","Time"
"1000","QuickSort","1.788"
"1000","QuickSortSeuil","1.883"
"1000","QuickSortRandomSeuil","2.201"
"1000","CountingSort","15482.206"
"5000","QuickSort","12.053"
"5000","QuickSortSeuil","12.152"
"5000","QuickSortRandomSeuil","14.126"
"5000","CountingSort","76631.003"
"10000","QuickSort","21.973"
"10000","QuickSortSeuil","21.18"
"10000","QuickSortRandomSeuil","27.012"
"10000","CountingSort","152705.842"
"50000","QuickSort","128.514"
"50000","QuickSortSeuil","141.905"
"50000","QuickSortRandomSeuil","155.134"
"50000","CountingSort","0.0"
"100000","QuickSort","290.607"
"100000","QuickSortSeuil","291.847"
"100000","QuickSortRandomSeuil","317.043"
"100000","CountingSort","0.0"
"500000","QuickSort","1722.906"
"500000","QuickSortSeuil","1632.683"
"500000","QuickSortRandomSeuil","1865.288"
"500000","CountingSort","0.0"
