Sample Size,Algorithm,Time
1000,QuickSort,0.003075333
1000,QuickSortSeuil,0.003075333
1000,QuickSortRandomSeuil,0.000854667
1000,CountingSort,0.000942
5000,QuickSort,0.001823697
5000,QuickSortSeuil,0.001791472
5000,QuickSortRandomSeuil,0.000712847
5000,CountingSort,0.0009226
10000,QuickSort,0.001701275
10000,QuickSortSeuil,0.00180545
10000,QuickSortRandomSeuil,0.0007016
10000,CountingSort,0.0009126
50000,QuickSort,0.001796338
50000,QuickSortSeuil,0.001851648
50000,QuickSortRandomSeuil,0.000715072
50000,CountingSort,0.00097412
100000,QuickSort,0.001580554
100000,QuickSortSeuil,0.001558334
100000,QuickSortRandomSeuil,0.000704508
100000,CountingSort,0.00104854
500000,QuickSort,0.002104344
500000,QuickSortSeuil,0.002120375
500000,QuickSortRandomSeuil,0.000735482
500000,CountingSort,0.001095268
