"Sample_Sizes","Algorithms","Times"
"1000","QuickSort","0.198"
"1000","QuickSortSeuil","0.449"
"1000","QuickSortRandomSeuil","46.285"
"1000","CountingSort","0.099"
"5000","QuickSort","0.849"
"5000","QuickSortSeuil","1.45"
"5000","QuickSortRandomSeuil","257.538"
"5000","CountingSort","0.199"
"10000","QuickSort","2.098"
"10000","QuickSortSeuil","3.397"
"10000","QuickSortRandomSeuil","500.142"
"10000","CountingSort","0.449"
"50000","QuickSort","13.034"
"50000","QuickSortSeuil","23.128"
"50000","QuickSortRandomSeuil","3195.388"
"50000","CountingSort","2.501"
"100000","QuickSort","25.42"
"100000","QuickSortSeuil","39.441"
"100000","QuickSortRandomSeuil","6929.338"
"100000","CountingSort","3.448"
"500000","QuickSort","143.906"
"500000","QuickSortSeuil","205.163"
"500000","QuickSortRandomSeuil","35253.88"
"500000","CountingSort","22.176"
