"Algorithm","Sample Size","Time"
"QuickSort","1000","0.0004986666666666667"
"QuickSortSeuil","1000","0.0004653333333333333"
"QuickSortRandomSeuil","1000","0.0005983333333333333"
"CountingSort","1000","9.98e-07"
"QuickSort","5000","0.0005338783492932069"
"QuickSortSeuil","5000","0.0005177116867006741"
"QuickSortRandomSeuil","5000","0.0006266068655012128"
"CountingSort","5000","3.3919999999999997e-07"
"QuickSort","10000","0.00054605"
"QuickSortSeuil","10000","0.00057845"
"QuickSortRandomSeuil","10000","0.0005969"
"CountingSort","10000","3.69e-07"
"QuickSort","50000","0.0005284902856814274"
"QuickSortSeuil","50000","0.0005280646604916187"
"QuickSortRandomSeuil","50000","0.000566949777832524"
"CountingSort","50000","4.241524573721163e-07"
"QuickSort","100000","0.000496076"
"QuickSortSeuil","100000","0.00051223"
"QuickSortRandomSeuil","100000","0.0005702960000000001"
"CountingSort","100000","3.6802e-07"
"QuickSort","500000","0.0005259880290156478"
"QuickSortSeuil","500000","0.0005216479465128128"
"QuickSortRandomSeuil","500000","0.0005935486583411321"
"CountingSort","500000","4.3025e-07"
