"Algorithm","Sample Size","Time"
"QuickSort","1000","1.496e-06"
"QuickSortSeuil","1000","1.3959999999999998e-06"
"QuickSortRandomSeuil","1000","1.795e-06"
"CountingSort","1000","9.98e-07"
"QuickSort","5000","3.9496000000000004e-07"
"QuickSortSeuil","5000","3.83e-07"
"QuickSortRandomSeuil","5000","4.6356e-07"
"CountingSort","5000","3.3919999999999997e-07"
"QuickSort","10000","2.1842e-07"
"QuickSortSeuil","10000","2.3138000000000002e-07"
"QuickSortRandomSeuil","10000","2.3876e-07"
"CountingSort","10000","3.69e-07"
"QuickSort","50000","4.96672e-08"
"QuickSortSeuil","50000","4.9627199999999996e-08"
"QuickSortRandomSeuil","50000","5.3281600000000005e-08"
"CountingSort","50000","4.241524573721163e-07"
"QuickSort","100000","2.48038e-08"
"QuickSortSeuil","100000","2.56115e-08"
"QuickSortRandomSeuil","100000","2.8514800000000003e-08"
"CountingSort","100000","3.6802e-07"
"QuickSort","500000","5.99518e-09"
"QuickSortSeuil","500000","5.945712000000001e-09"
"QuickSortRandomSeuil","500000","6.765232e-09"
"CountingSort","500000","4.3025e-07"
